data_time,hyyhs_cnt,hyjzyhs_cnt,tgyhzs_cnt,data_update_time
20191007,140297.0,88510.0,8664794.0,2020-1-19 14:06
20191008,191821.0,118434.0,8701574.0,2020-1-19 14:11
20191009,225696.0,130586.0,8752740.0,2020-1-19 14:15
20191010,218788.0,110312.0,8808474.0,2020-1-19 14:19
20191011,264325.0,95628.0,8970656.0,2020-1-19 14:23
20191012,271067.0,94130.0,9159928.0,2020-1-19 14:28
20191013,214389.0,112468.0,9294444.0,2020-1-19 14:32
20191014,273987.0,141914.0,9476798.0,2020-1-19 14:36
20191015,315395.0,200536.0,9730442.0,2020-1-19 14:40
20191016,359572.0,202034.0,10031510.0,2020-1-19 14:44
20191017,380996.0,64202.0,10363520.0,2020-1-19 14:49
20191018,378864.0,67148.0,10672358.0,2020-1-19 14:53
20191019,216526.0,133952.0,10883594.0,2020-1-19 14:57
20191020,190461.0,120266.0,11073008.0,2020-1-19 15:01
20191021,252948.0,139014.0,11312802.0,2020-1-19 15:07
20191022,268863.0,139816.0,11589172.0,2020-1-19 15:12
20191023,283635.0,134852.0,11887792.0,2020-1-19 15:16
20191024,270003.0,125938.0,12194164.0,2020-1-19 15:20
20191025,276793.0,124034.0,12505628.0,2020-1-19 15:25
20191026,188863.0,114050.0,12721470.0,2020-1-19 15:30
20191027,180665.0,109464.0,12919232.0,2020-1-19 15:34
20191028,262451.0,132158.0,13203914.0,2020-1-19 15:38
20191029,334904.0,125970.0,13622344.0,2020-1-19 15:42
20191030,338936.0,111162.0,14038792.0,2020-1-19 15:47
20191031,341678.0,128002.0,14396002.0,2020-1-19 15:51
20191101,251007.0,147178.0,14594392.0,2020-1-19 15:55
20191102,202546.0,138468.0,14742582.0,2020-1-19 16:00
20191103,211024.0,146012.0,14885806.0,2020-1-19 16:05
20191104,307764.0,146330.0,15137324.0,2020-1-19 16:11
20191105,338223.0,141038.0,15420840.0,2020-1-19 16:16
20191106,318661.0,134510.0,15688970.0,2020-1-19 16:20
20191107,385416.0,131360.0,16073994.0,2020-1-19 16:25
20191108,301932.0,109320.0,16351802.0,2020-1-19 16:29
20191109,298356.0,154786.0,16606024.0,2020-1-19 16:34
20191110,275047.0,144908.0,16834114.0,2020-1-19 16:38
20191111,408131.0,121842.0,17200110.0,2020-1-19 16:42
20191112,498443.0,124172.0,17666530.0,2020-1-19 16:47
20191113,548488.0,80662.0,18176084.0,2020-1-19 16:51
20191114,560195.0,32628.0,18722588.0,2020-1-19 16:56
20191115,581947.0,49906.0,19283886.0,2020-1-19 17:00
20191116,414340.0,12.0,19658588.0,2020-1-19 17:07
20191117,444728.0,22.0,20016726.0,2020-1-19 17:12
20191118,604445.0,47676.0,20536286.0,2020-1-19 17:17
20191119,563349.0,81432.0,21066966.0,2020-1-19 17:22
20191120,603370.0,48868.0,21662660.0,2020-1-19 17:27
20191121,643432.0,47530.0,22292906.0,2020-1-19 17:32
20191122,635204.0,133936.0,22917520.0,2020-1-19 17:37
20191123,573916.0,315528.0,23458410.0,2020-1-19 17:42
20191124,394244.0,287036.0,23863116.0,2020-1-19 17:47
20191125,726165.0,404632.0,24516652.0,2020-1-19 17:51
20191126,824962.0,468472.0,25293112.0,2020-1-19 17:56
20191127,928637.0,520582.0,26164438.0,2020-1-19 18:01
20191128,1043505.0,511026.0,27114974.0,2020-1-19 18:07
20191129,1088865.0,611996.0,28179746.0,2020-1-19 18:12
20191130,1144415.0,486074.0,28917678.0,2020-1-19 18:17
20191201,862077.0,412326.0,29409793.0,2020-1-19 18:22
20191202,1163813.0,527034.0,30127084.0,2020-1-19 18:27
